,fullname,html_url,tags
28,gwenneg/hackathon-prompt-tuner,https://github.com/gwenneg/hackathon-prompt-tuner,"['OpenAI', 'gpt-4o', 'gemini-2.5-flash', 'claude-opus-4-20250514']"
29,Nyanna/XY.AI.Workbench,https://github.com/Nyanna/XY.AI.Workbench,"['Anthropic', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gemini-2.5-flash-lite', 'claude-opus-4-1', 'claude-sonnet-4-0']"
30,Nyanna/XY.AI.Workbench,https://github.com/Nyanna/XY.AI.Workbench,"['Anthropic', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gemini-2.5-flash-lite', 'claude-opus-4-1', 'claude-sonnet-4-0']"
31,Nyanna/XY.AI.Workbench,https://github.com/Nyanna/XY.AI.Workbench,"['Anthropic', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gemini-2.5-flash-lite', 'claude-opus-4-1', 'claude-sonnet-4-0']"
32,Nyanna/XY.AI.Workbench,https://github.com/Nyanna/XY.AI.Workbench,"['Anthropic', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gemini-2.5-flash-lite', 'claude-opus-4-1', 'claude-sonnet-4-0']"
33,Nyanna/XY.AI.Workbench,https://github.com/Nyanna/XY.AI.Workbench,"['Anthropic', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gemini-2.5-flash-lite', 'claude-opus-4-1', 'claude-sonnet-4-0']"
34,lenovo1002/Projects,https://github.com/lenovo1002/Projects,['Google_gemini-2.5-flash']
35,team-I5/order-platform,https://github.com/team-I5/order-platform,['Google_gemini-2.5-flash-lite']
36,JoshuaYoshi1922/movie-ai-management,https://github.com/JoshuaYoshi1922/movie-ai-management,['Google_gemini-2.0-flash-001']
37,Vixxxz/e-commerce,https://github.com/Vixxxz/e-commerce,['Google_gemini-2.0-flash']
38,ImEldin/Career-Progression-App,https://github.com/ImEldin/Career-Progression-App,['OpenAI_gpt-4.1-mini']
39,cake0420/history-llm,https://github.com/cake0420/history-llm,['Google_gemini-2.0-flash-001']
40,mohammadsartaj/AI_Chat_Bot,https://github.com/mohammadsartaj/AI_Chat_Bot,['Google_gemini-2.5-flash']
41,AngelBlackBlue/2066-java-persitencia-de-datos-y-consultas-con-Spring-JPA-proyecto-inicial,https://github.com/AngelBlackBlue/2066-java-persitencia-de-datos-y-consultas-con-Spring-JPA-proyecto-inicial,['Google_gemini-2.0-flash-lite']
42,aleicer/medlynx-api,https://github.com/aleicer/medlynx-api,['Google_gemini-2.0-flash-lite']
43,satyajitsahoo28/AI-Resume-Analyzer,https://github.com/satyajitsahoo28/AI-Resume-Analyzer,['Google_gemini-2.5-flash']
44,stefanfaur/apollo,https://github.com/stefanfaur/apollo,['Google_gemini-2.0-flash-lite']
45,sprahul333/pagedian_test_cases,https://github.com/sprahul333/pagedian_test_cases,['Google_gemini-2.5-flash']
46,sayancoding/email-generator-ai,https://github.com/sayancoding/email-generator-ai,['Google_gemini-2.5-flash']
47,imyuanhui/COMP47360,https://github.com/imyuanhui/COMP47360,['Google_gemini-2.5-flash']
48,ksk1130/google_genai_sample,https://github.com/ksk1130/google_genai_sample,['Google_gemini-2.5-flash']
49,Istimereal/policy_match_api,https://github.com/Istimereal/policy_match_api,['OpenAI_gpt-5']
50,Trend-Now/Back-end,https://github.com/Trend-Now/Back-end,"['Google', 'gemini-2.5-flash-lite']"
51,OsmelMdz/screenmatch-v3-spring-api,https://github.com/OsmelMdz/screenmatch-v3-spring-api,['Google_gemini-2.0-flash-lite']
52,LucasZanini096/PlanEatsProject,https://github.com/LucasZanini096/PlanEatsProject,['Google_gemini-2.5-flash']
53,TONY-STARK-TECH-ORG/fastx-ai-llm,https://github.com/TONY-STARK-TECH-ORG/fastx-ai-llm,"['OpenAI_dall-e-3', 'OpenAI_text-embedding-3-small']"
54,TONY-STARK-TECH-ORG/fastx-ai-llm,https://github.com/TONY-STARK-TECH-ORG/fastx-ai-llm,"['OpenAI_dall-e-3', 'OpenAI_text-embedding-3-small']"
55,eugenp/tutorials,https://github.com/eugenp/tutorials,"['OpenAI', 'text-embedding-3-small', 'gpt-4o-mini', 'tts-1']"
56,eugenp/tutorials,https://github.com/eugenp/tutorials,"['OpenAI', 'text-embedding-3-small', 'gpt-4o-mini', 'tts-1']"
57,eugenp/tutorials,https://github.com/eugenp/tutorials,"['OpenAI', 'text-embedding-3-small', 'gpt-4o-mini', 'tts-1']"
58,lehuuhau1231/TechJobs,https://github.com/lehuuhau1231/TechJobs,['Google_gemini-2.5-flash']
59,kestra-io/plugin-openai,https://github.com/kestra-io/plugin-openai,"['OpenAI', 'gpt-4.1']"
60,Aquatimez1991/Screenmatch-SpringBoot,https://github.com/Aquatimez1991/Screenmatch-SpringBoot,['Google_gemini-2.0-flash-lite']
61,xnen/Vai,https://github.com/xnen/Vai,"['Anthropic', 'o1-mini', 'gpt-4o-audio-preview', 'o1', 'gpt-4o-mini-audio-preview', 'o3-mini', 'gpt-4o-mini-search-preview', 'o3', 'o4-mini', 'gpt-4.1', 'gemini-2.5-pro-preview-06-05']"
62,xnen/Vai,https://github.com/xnen/Vai,"['Anthropic', 'o1-mini', 'gpt-4o-audio-preview', 'o1', 'gpt-4o-mini-audio-preview', 'o3-mini', 'gpt-4o-mini-search-preview', 'o3', 'o4-mini', 'gpt-4.1', 'gemini-2.5-pro-preview-06-05']"
63,xnen/Vai,https://github.com/xnen/Vai,"['Anthropic', 'o1-mini', 'gpt-4o-audio-preview', 'o1', 'gpt-4o-mini-audio-preview', 'o3-mini', 'gpt-4o-mini-search-preview', 'o3', 'o4-mini', 'gpt-4.1', 'gemini-2.5-pro-preview-06-05']"
64,xnen/Vai,https://github.com/xnen/Vai,"['Anthropic', 'o1-mini', 'gpt-4o-audio-preview', 'o1', 'gpt-4o-mini-audio-preview', 'o3-mini', 'gpt-4o-mini-search-preview', 'o3', 'o4-mini', 'gpt-4.1', 'gemini-2.5-pro-preview-06-05']"
65,xnen/Vai,https://github.com/xnen/Vai,"['Anthropic', 'o1-mini', 'gpt-4o-audio-preview', 'o1', 'gpt-4o-mini-audio-preview', 'o3-mini', 'gpt-4o-mini-search-preview', 'o3', 'o4-mini', 'gpt-4.1', 'gemini-2.5-pro-preview-06-05']"
66,xnen/Vai,https://github.com/xnen/Vai,"['Anthropic', 'o1-mini', 'gpt-4o-audio-preview', 'o1', 'gpt-4o-mini-audio-preview', 'o3-mini', 'gpt-4o-mini-search-preview', 'o3', 'o4-mini', 'gpt-4.1', 'gemini-2.5-pro-preview-06-05']"
67,xnen/Vai,https://github.com/xnen/Vai,"['Anthropic', 'o1-mini', 'gpt-4o-audio-preview', 'o1', 'gpt-4o-mini-audio-preview', 'o3-mini', 'gpt-4o-mini-search-preview', 'o3', 'o4-mini', 'gpt-4.1', 'gemini-2.5-pro-preview-06-05']"
68,xnen/Vai,https://github.com/xnen/Vai,"['Anthropic', 'o1-mini', 'gpt-4o-audio-preview', 'o1', 'gpt-4o-mini-audio-preview', 'o3-mini', 'gpt-4o-mini-search-preview', 'o3', 'o4-mini', 'gpt-4.1', 'gemini-2.5-pro-preview-06-05']"
69,skovdev/project-management-system,https://github.com/skovdev/project-management-system,"['OpenAI', 'gpt-4.1-2025-04-14', 'gpt-4.1-mini-2025-04-14']"
70,skovdev/project-management-system,https://github.com/skovdev/project-management-system,"['OpenAI', 'gpt-4.1-2025-04-14', 'gpt-4.1-mini-2025-04-14']"
71,airport-ai-facility-monitoring/backend_workspace,https://github.com/airport-ai-facility-monitoring/backend_workspace,['Google_gemini-2.5-flash']
72,minhhieu111/habitTracker,https://github.com/minhhieu111/habitTracker,['Google_gemini-2.5-flash']
73,Manthan0304/Nirogya,https://github.com/Manthan0304/Nirogya,['Google_gemini-2.0-flash']
74,enriquemoralesvite/ScreenMatch,https://github.com/enriquemoralesvite/ScreenMatch,['Google_gemini-2.0-flash-lite']
75,Nhannguyenus24/Drafts,https://github.com/Nhannguyenus24/Drafts,"['Google_gemini-2.5-flash', 'Google_gemini-2.0-flash']"
76,Nhannguyenus24/Drafts,https://github.com/Nhannguyenus24/Drafts,"['Google_gemini-2.5-flash', 'Google_gemini-2.0-flash']"
77,xdnw/locutus,https://github.com/xdnw/locutus,['OpenAI_text-embedding-ada-002']
78,parthhc/application-tracker-backend,https://github.com/parthhc/application-tracker-backend,['Google_gemini-2.0-flash']
79,L3to/Devops-GS1,https://github.com/L3to/Devops-GS1,['Google_gemini-2.0-flash']
80,thomasfischersm/social_learning,https://github.com/thomasfischersm/social_learning,"['OpenAI', 'o3']"
81,bmukesh23/Edutrack,https://github.com/bmukesh23/Edutrack,['Google_gemini-2.5-flash']
82,GiorgiNikola/ecommerce-project,https://github.com/GiorgiNikola/ecommerce-project,['Google_gemini-2.0-flash-001']
83,wizardleeen/kiwi-console,https://github.com/wizardleeen/kiwi-console,['Google_gemini-2.5-flash-preview-05-20']
84,GoogleCloudPlatform/java-docs-samples,https://github.com/GoogleCloudPlatform/java-docs-samples,"['Google_gemini-2.5-flash', 'Google_gemini-2.5-pro', 'Google_gemini-2.5-flash-image', 'Google_imagen-4.0-generate-001']"
85,GoogleCloudPlatform/java-docs-samples,https://github.com/GoogleCloudPlatform/java-docs-samples,"['Google_gemini-2.5-flash', 'Google_gemini-2.5-pro', 'Google_gemini-2.5-flash-image', 'Google_imagen-4.0-generate-001']"
86,kmr-ankitt/quizer,https://github.com/kmr-ankitt/quizer,['Google_gemini-2.0-flash-001']
87,FireTail-Demo-Org/ai-usage-examples,https://github.com/FireTail-Demo-Org/ai-usage-examples,['OpenAI_deepseek-chat']
88,RingkhangBTY/QuizMind,https://github.com/RingkhangBTY/QuizMind,['Google_gemini-2.0-flash-001']
89,ibnudarma/quizy_app_java,https://github.com/ibnudarma/quizy_app_java,['Google_gemini-2.0-flash']
90,Juan392/literalura,https://github.com/Juan392/literalura,['Google_gemini-2.0-flash-lite']
91,aibe-01-training/boot-sunflower2,https://github.com/aibe-01-training/boot-sunflower2,['Google_gemini-2.0-flash']
92,Vathsalya12346/Gemini,https://github.com/Vathsalya12346/Gemini,"['Google_gemini-2.5-pro-preview-05-06', 'Google_gemini-2.0-flash']"
93,ElianaMendez/ScreenMatch_PersistenciaDatos_JPA,https://github.com/ElianaMendez/ScreenMatch_PersistenciaDatos_JPA,['Google_gemini-2.5-flash-preview-05-20']
94,CusmaLinux/svu,https://github.com/CusmaLinux/svu,['Google_gemini-2.5-flash']
95,Priscila-Santos/screenmatch-sem-web,https://github.com/Priscila-Santos/screenmatch-sem-web,['Google_gemini-2.0-flash-lite']
96,JapneetSachdeva1/Gemini_Integration,https://github.com/JapneetSachdeva1/Gemini_Integration,['Google_gemini-2.0-flash-001']
97,soheeGit/Programmers_AI_BackEnd,https://github.com/soheeGit/Programmers_AI_BackEnd,['Google_gemini-2.0-flash']
98,ddobrin/ai-native,https://github.com/ddobrin/ai-native,['Google_gemini-2.5-flash']
99,JunaidAnsari0208/ai-journal,https://github.com/JunaidAnsari0208/ai-journal,['Google_gemini-2.5-flash']
100,MarcWeberFS/Text-to-sql,https://github.com/MarcWeberFS/Text-to-sql,"['OpenAI', 'Anthropic', 'deepseek-chat']"
101,theleoborges/akkaAgents,https://github.com/theleoborges/akkaAgents,"['OpenAI', 'gpt-4o']"
102,patrik43210/FitnessApp,https://github.com/patrik43210/FitnessApp,"['Google', 'gemini-2.5-flash']"
103,Sparta-21/TDD,https://github.com/Sparta-21/TDD,['Google_gemini-2.5-flash']
104,nam20/news-invest,https://github.com/nam20/news-invest,['Google_gemini-2.5-flash']
105,JoelPereiraGH/SpringRestUsingOpenAISDK,https://github.com/JoelPereiraGH/SpringRestUsingOpenAISDK,"['OpenAI', 'gpt-4o-mini']"
106,zhaoyanbo1/mobile,https://github.com/zhaoyanbo1/mobile,"['OpenAI', 'gpt-4o-mini-tts']"
107,ruwzeta/StyleOmega,https://github.com/ruwzeta/StyleOmega,['OpenAI_gpt-3.5-turbo']
108,pranjalpatel044/Portfolio-Springboot-Thymeleaf,https://github.com/pranjalpatel044/Portfolio-Springboot-Thymeleaf,['Google_gemini-2.0-flash']
109,dimitrijevic-dev/bora,https://github.com/dimitrijevic-dev/bora,['Google_gemini-2.0-flash-001']
110,Vedanshsa/spring-chat-app,https://github.com/Vedanshsa/spring-chat-app,['Google_gemini-2.5-flash']
111,gkarthi-signoz/java-openai-otel,https://github.com/gkarthi-signoz/java-openai-otel,['OpenAI_gpt-4.1']
112,QwerProg/video-transcriber,https://github.com/QwerProg/video-transcriber,['Google_gemini-2.5-flash']
113,colacco/Java,https://github.com/colacco/Java,['Google_gemini-2.5-flash']
114,jmikhaelz/OmdbApi-SpringBoot,https://github.com/jmikhaelz/OmdbApi-SpringBoot,['Google_gemini-2.0-flash-lite']
115,MichalAugustyniak/ai-based-crossword-creator,https://github.com/MichalAugustyniak/ai-based-crossword-creator,"['OpenAI', 'gpt-3.5-turbo']"
116,Goorda-Goormi/routine-it-spring-be,https://github.com/Goorda-Goormi/routine-it-spring-be,['Google_gemini-2.5-flash']
117,emachipana/inv-araujo-api,https://github.com/emachipana/inv-araujo-api,['OpenAI_gpt-4.1-mini']
118,luiseduardofc1500/pingou-PDS,https://github.com/luiseduardofc1500/pingou-PDS,['Google_gemini-2.0-flash-exp']
119,JavissNeg/SpringMusic,https://github.com/JavissNeg/SpringMusic,['Google_gemini-2.0-flash-lite']
120,NisargShah1/GenAI_Repo,https://github.com/NisargShah1/GenAI_Repo,['Google_gemini-2.0-flash']
121,matheusgmello/geladeira-magica,https://github.com/matheusgmello/geladeira-magica,['Google_gemini-2.5-flash']
122,serkanyilmz/StudyHub,https://github.com/serkanyilmz/StudyHub,['Google_gemini-2.5-flash']
123,glaforge/ai-agent-protocols,https://github.com/glaforge/ai-agent-protocols,['Google_gemini-2.5-flash']
124,kakao-tech-campus-3rd-step3/Team2_BE,https://github.com/kakao-tech-campus-3rd-step3/Team2_BE,"['Google', 'gemini-2.5-flash-lite']"
125,MrClaro/screenmatch,https://github.com/MrClaro/screenmatch,['Google_gemini-2.5-flash']
126,Mrjwj34/BrilliantTavern,https://github.com/Mrjwj34/BrilliantTavern,['Google_gemini-2.5-flash']
127,IgorLana/Spaced-Repetition-AI,https://github.com/IgorLana/Spaced-Repetition-AI,['Google_gemini-2.5-flash']
128,google-gemini/api-examples,https://github.com/google-gemini/api-examples,['Google_gemini-2.0-flash']
129,getrebuild/rebuild,https://github.com/getrebuild/rebuild,['OpenAI_deepseek-chat']
130,EdsonCasta/Java,https://github.com/EdsonCasta/Java,['Google_gemini-2.0-flash-lite']
131,Mixeway/Flow,https://github.com/Mixeway/Flow,['Google_gemini-2.5-flash']
132,Rakesh-Kumar-S-2005/CopFriendlyApp,https://github.com/Rakesh-Kumar-S-2005/CopFriendlyApp,"['Google', 'gemini-2.5-flash']"
133,shubhhxmxx/Grainer,https://github.com/shubhhxmxx/Grainer,['Google_gemini-2.5-flash']
134,qus0in/boot-redrose,https://github.com/qus0in/boot-redrose,['Google_gemini-2.0-flash']
135,jshjshjshjsh/pond_back,https://github.com/jshjshjshjsh/pond_back,['Google_gemini-2.5-flash']
136,MUHAMMADUMER109/NeoAura,https://github.com/MUHAMMADUMER109/NeoAura,['Google_gemini-2.0-flash']
137,pswaao88/AI-Challenge,https://github.com/pswaao88/AI-Challenge,['Google_gemini-2.5-flash-lite']
138,JangJuRi/spot-light,https://github.com/JangJuRi/spot-light,['Google_gemini-2.0-flash']
139,hardik118/EvaluationMicroService,https://github.com/hardik118/EvaluationMicroService,['Google_gemini-2.5-flash']
140,MuhammadJaafer/V-MOM,https://github.com/MuhammadJaafer/V-MOM,['Google_gemini-2.0-flash']
141,minherz/o11y-methods-screen-demo,https://github.com/minherz/o11y-methods-screen-demo,['Google_gemini-2.5-flash']
142,Neo2854/daxos-be,https://github.com/Neo2854/daxos-be,"['Google', 'gemini-2.0-flash-lite']"
143,Arjo-Kar/Prep_Orbit,https://github.com/Arjo-Kar/Prep_Orbit,"['Google', 'whisper-1', 'gemini-2.5-flash']"
144,Arjo-Kar/Prep_Orbit,https://github.com/Arjo-Kar/Prep_Orbit,"['Google', 'whisper-1', 'gemini-2.5-flash']"
145,biehnary/nutrition-scanner,https://github.com/biehnary/nutrition-scanner,['Google_gemini-2.5-flash']
146,AxelDesarrolloWeb/screenmatch-with-postgres-jpql,https://github.com/AxelDesarrolloWeb/screenmatch-with-postgres-jpql,['Google_gemini-2.0-flash-lite']
147,nam2626/KH_2025_04_Spring,https://github.com/nam2626/KH_2025_04_Spring,['Google_gemini-2.5-flash']
148,vinayakkushwah01/GreenScan-backend,https://github.com/vinayakkushwah01/GreenScan-backend,['Google_gemini-2.5-flash']
149,garv130/Human-vs-AI-Tic-Tac-Toe,https://github.com/garv130/Human-vs-AI-Tic-Tac-Toe,['Google_gemini-2.5-flash']
150,s4kv/NutriCast,https://github.com/s4kv/NutriCast,['Google_gemini-2.0-flash-001']
151,mokksy/ai-mocks,https://github.com/mokksy/ai-mocks,['OpenAI_gpt-4o-mini']
152,FeliciaaaTan/UBS-TTP-TechBloom,https://github.com/FeliciaaaTan/UBS-TTP-TechBloom,['Google_gemini-2.0-flash']
153,jonathanp62/Java-Pinecone-Quickstart,https://github.com/jonathanp62/Java-Pinecone-Quickstart,['OpenAI_gpt-4.1']
154,njse22/APO2-25-2,https://github.com/njse22/APO2-25-2,['Google_gemini-2.0-flash-001']
155,Wjyuy/KH_PJ4,https://github.com/Wjyuy/KH_PJ4,['Google_gemini-2.0-flash-001']
156,tahayk3/aluralatam-backend,https://github.com/tahayk3/aluralatam-backend,['Google_gemini-2.0-flash-lite']
157,kousen/AiJavaLabs,https://github.com/kousen/AiJavaLabs,['Google_gemini-2.5-flash-image-preview']
158,Stellarhold170NT/network-programming-project,https://github.com/Stellarhold170NT/network-programming-project,['Google_gemini-2.5-flash']
159,sandeshsudake/AI-PoweredVoiceAssistantForEVs,https://github.com/sandeshsudake/AI-PoweredVoiceAssistantForEVs,['Google_gemini-2.0-flash-001']
160,poposay/SnapShelf,https://github.com/poposay/SnapShelf,['Google_gemini-2.5-flash']
161,vidvancheripalli-ui/ai-tutor-backend-main,https://github.com/vidvancheripalli-ui/ai-tutor-backend-main,['Google_gemini-2.5-flash']
162,rianfernandesno/Discord-bot-,https://github.com/rianfernandesno/Discord-bot-,['Google_gemini-2.0-flash-001']
163,qus0in/gemini_chat,https://github.com/qus0in/gemini_chat,['Google_gemini-2.0-flash']
164,riteshkusingh27/EmailAssistant_api,https://github.com/riteshkusingh27/EmailAssistant_api,['Google_gemini-2.5-flash']
165,ddobrin/spring-ai-local-exp,https://github.com/ddobrin/spring-ai-local-exp,"['Google', 'gpt-3.5-turbo', 'dall-e-3', 'gpt-4o', 'gpt-4o-mini', 'text-embedding-ada-002', 'gemini-2.0-flash', 'text-embedding-004', 'mistral-embed']"
166,ddobrin/spring-ai-local-exp,https://github.com/ddobrin/spring-ai-local-exp,"['Google', 'gpt-3.5-turbo', 'dall-e-3', 'gpt-4o', 'gpt-4o-mini', 'text-embedding-ada-002', 'gemini-2.0-flash', 'text-embedding-004', 'mistral-embed']"
167,ddobrin/spring-ai-local-exp,https://github.com/ddobrin/spring-ai-local-exp,"['Google', 'gpt-3.5-turbo', 'dall-e-3', 'gpt-4o', 'gpt-4o-mini', 'text-embedding-ada-002', 'gemini-2.0-flash', 'text-embedding-004', 'mistral-embed']"
168,ddobrin/spring-ai-local-exp,https://github.com/ddobrin/spring-ai-local-exp,"['Google', 'gpt-3.5-turbo', 'dall-e-3', 'gpt-4o', 'gpt-4o-mini', 'text-embedding-ada-002', 'gemini-2.0-flash', 'text-embedding-004', 'mistral-embed']"
169,ddobrin/spring-ai-local-exp,https://github.com/ddobrin/spring-ai-local-exp,"['Google', 'gpt-3.5-turbo', 'dall-e-3', 'gpt-4o', 'gpt-4o-mini', 'text-embedding-ada-002', 'gemini-2.0-flash', 'text-embedding-004', 'mistral-embed']"
170,ddobrin/spring-ai-local-exp,https://github.com/ddobrin/spring-ai-local-exp,"['Google', 'gpt-3.5-turbo', 'dall-e-3', 'gpt-4o', 'gpt-4o-mini', 'text-embedding-ada-002', 'gemini-2.0-flash', 'text-embedding-004', 'mistral-embed']"
171,aibe-01-training/boot-sunflower,https://github.com/aibe-01-training/boot-sunflower,['Google_gemini-2.0-flash']
172,oodzfa/ai_command,https://github.com/oodzfa/ai_command,"['OpenAI', 'gpt-3.5-turbo']"
173,Facundo-Su/Dong-Fang,https://github.com/Facundo-Su/Dong-Fang,['OpenAI_gpt-5-nano']
174,Gokruto13452/Gemini-Integration,https://github.com/Gokruto13452/Gemini-Integration,['Google_gemini-2.5-flash']
175,ersinelmas/RisenCore,https://github.com/ersinelmas/RisenCore,['Google_gemini-2.5-flash']
176,yasasbanukaofficial/strtgst-academic-tracker,https://github.com/yasasbanukaofficial/strtgst-academic-tracker,['Google_gemini-2.0-flash']
177,nvp85/web-ai-chat-full-stack,https://github.com/nvp85/web-ai-chat-full-stack,['Google_gemini-2.0-flash-001']
178,drockparashar/patchNotesGenerator,https://github.com/drockparashar/patchNotesGenerator,['Google_gemini-2.5-flash']
179,kestra-io/plugin-gemini,https://github.com/kestra-io/plugin-gemini,['Google_gemini-2.5-flash']
180,ViniciusVon/screenmatch-spring-data-jpa,https://github.com/ViniciusVon/screenmatch-spring-data-jpa,['OpenAI_gpt-4o-mini']
181,EmreCelik15/weather-api,https://github.com/EmreCelik15/weather-api,['Google_gemini-2.0-flash']
182,CalebOdunade/TVBox,https://github.com/CalebOdunade/TVBox,['Google_gemini-2.5-flash']
183,tundoumoi/shop,https://github.com/tundoumoi/shop,['Google_gemini-2.5-flash']
184,felipeNamaral/BlackJack_JavaFX,https://github.com/felipeNamaral/BlackJack_JavaFX,['Google_gemini-2.5-flash']
185,augustkeller/final-practice-unit-1-august-k,https://github.com/augustkeller/final-practice-unit-1-august-k,['Google_gemini-2.0-flash-001']
186,hilalsidhic/Web-Scraper-Application-With-AI-Integration,https://github.com/hilalsidhic/Web-Scraper-Application-With-AI-Integration,['Google_gemini-2.5-flash']
187,NEGVS/cloud-def,https://github.com/NEGVS/cloud-def,['OpenAI_gpt-5']
188,Kolade-Amire/qlish-app,https://github.com/Kolade-Amire/qlish-app,['Google_gemini-2.0-flash']
189,elastic/elastic-otel-java,https://github.com/elastic/elastic-otel-java,"['OpenAI_text-embedding-3-small', 'OpenAI_gpt-4o-mini']"
190,elastic/elastic-otel-java,https://github.com/elastic/elastic-otel-java,"['OpenAI_text-embedding-3-small', 'OpenAI_gpt-4o-mini']"
191,MusiConect/MusiConnect_API,https://github.com/MusiConect/MusiConnect_API,['Google_gemini-2.5-flash']
192,Devan019/AI-learning-platform,https://github.com/Devan019/AI-learning-platform,['Google_gemini-2.0-flash']
193,nicolagramegna/mcp-java,https://github.com/nicolagramegna/mcp-java,['Google_gemini-2.5-flash']
194,googleapis/java-genai,https://github.com/googleapis/java-genai,"['Google', 'gemini-2.5-flash', 'text-embedding-004', 'imagen-4.0-generate-001', 'veo-2.0-generate-001', 'gemini-live-2.5-flash-preview']"
195,sabarabara/shoppingAPI,https://github.com/sabarabara/shoppingAPI,['Google_gemini-2.0-flash']
196,maruffhasan/hotel-management-system,https://github.com/maruffhasan/hotel-management-system,['Google_gemini-2.5-flash']
197,Soumyadip-gole/Quantify,https://github.com/Soumyadip-gole/Quantify,['Google_gemini-2.5-flash']
198,azure-ai-foundry/foundry-samples,https://github.com/azure-ai-foundry/foundry-samples,['OpenAI_gpt-4o']
199,mayanksh1682/GenerateContent,https://github.com/mayanksh1682/GenerateContent,['Google_gemini-2.5-flash']
200,prgrms-aibe-devcourse/AIBE1-Project2-Team05-backend,https://github.com/prgrms-aibe-devcourse/AIBE1-Project2-Team05-backend,['Google_gemini-2.0-flash-001']
201,argel6767/i-need-housing,https://github.com/argel6767/i-need-housing,['Google_gemini-2.5-flash-lite']
202,rzhang627/IceBreaker,https://github.com/rzhang627/IceBreaker,['Google_gemini-2.0-flash-001']
203,lodekarprathamesh/FitnessTracker,https://github.com/lodekarprathamesh/FitnessTracker,['Google_gemini-2.5-flash']
