,full_name,html_url,labels
24,Yobubble/yona-bot,https://github.com/Yobubble/yona-bot,"{'OpenAI': ['internal/enum/lm.go', 'pkg/stt/openai.go', 'pkg/lm/openai.go']}"
25,AndrusGerman/kororo,https://github.com/AndrusGerman/kororo,"{'OpenAI': ['internal/adapters/llm/openai/openairequest.go', 'internal/adapters/llm/openai/openai.go']}"
26,PawelK2012/AI-GO,https://github.com/PawelK2012/AI-GO,"{'OpenAI': ['src/clients/open_ai.go', 'src/clients/client.go']}"
27,creydr/knative-kn-do-plugin,https://github.com/creydr/knative-kn-do-plugin,"{'OpenAI': ['pkg/openaiapi/client.go', 'pkg/openaiapi/function/common.go', 'pkg/openaiapi/function/wrapper.go', 'pkg/plugin/mapping.go', 'pkg/plugin/plugin.go']}"
28,adrianliechti/wingman,https://github.com/adrianliechti/wingman,"{'OpenAI': ['pkg/provider/openai/embedder.go', 'pkg/provider/openai/transcriber.go', 'pkg/researcher/perplexity/config.go', 'pkg/researcher/openai/config.go', 'pkg/provider/openai/renderer.go', 'pkg/provider/openai/util.go', 'pkg/provider/openai/synthesizer.go', 'pkg/provider/openai/config.go', 'pkg/researcher/openai/client.go', 'pkg/researcher/perplexity/client.go'], 'Google': ['pkg/provider/google/renderer.go', 'pkg/provider/google/embedder.go', 'pkg/provider/google/config.go'], 'Anthropic': ['pkg/provider/anthropic/config.go', 'pkg/researcher/anthropic/config.go', 'pkg/researcher/anthropic/client.go', 'pkg/provider/anthropic/util.go']}"
29,boat-builder/agentpod,https://github.com/boat-builder/agentpod,"{'OpenAI': ['llm_interface.go', 'tests/basic_test.go', 'session.go', 'llm_message.go', 'conversation_context.go', 'tool.go', 'llm_client.go', 'skill.go', 'tests/response_test.go']}"
30,Hayabusa58/chappy-discord-bot,https://github.com/Hayabusa58/chappy-discord-bot,"{'OpenAI': ['discord.go', 'opeai.go']}"
31,Vanclief/agent-composer,https://github.com/Vanclief/agent-composer,"{'OpenAI': ['runtime/providers/chatgpt/chatgpt.go', 'runtime/runtime.go']}"
32,yoyomo/chat-challenge,https://github.com/yoyomo/chat-challenge,"{'OpenAI': ['internal/chat/tools/message_of_the_day.go', 'internal/chat/tools/weather.go', 'internal/chat/tools/holidays.go', 'internal/chat/tools/today_date.go', 'internal/chat/assistant/assistant.go', 'internal/chat/tools/registry.go']}"
33,bsthun/crawler,https://github.com/bsthun/crawler,{'OpenAI': ['backend/common/openai/openai.go']}
34,Carlltz/aj,https://github.com/Carlltz/aj,"{'OpenAI': ['ai/chat.go', 'ai/main.go']}"
35,EternisAI/enchanted-twin,https://github.com/EternisAI/enchanted-twin,"{'OpenAI': ['backend/golang/pkg/ai/ai.go', 'backend/golang/pkg/agent/interface_test.go', 'backend/golang/pkg/ai/private.go', 'backend/golang/pkg/ai/stream.go', 'backend/golang/pkg/mcpserver/mcp_tool.go', 'backend/golang/pkg/agent/tools/tool.go', 'backend/golang/pkg/agent/agent.go', 'backend/golang/pkg/identity/activities.go', 'backend/golang/pkg/agent/tools/registry.go', 'backend/golang/pkg/agent/interfaces.go', 'backend/golang/pkg/ai/test_utils.go', 'backend/golang/pkg/agent/integration_test.go', 'backend/golang/pkg/ai/utils.go', 'backend/golang/pkg/whatsapp/tools/tools.go', 'backend/golang/pkg/twinchat/types.go', 'backend/golang/pkg/ai/dictionary_merge_test.go', 'backend/golang/pkg/agent/types/tools.go']}"
36,habiliai/coffeehouse,https://github.com/habiliai/coffeehouse,"{'OpenAI': ['api/pkg/habapi/server.go', 'api/pkg/habapi/thread.go', 'api/pkg/habapi/run.go', 'api/pkg/habapi/message_data.go', 'api/pkg/habapi/callbacks.go', 'api/pkg/habapi/thread_data.go', 'api/pkg/habapi/openai_metadata.go', 'api/pkg/habapi/message.go']}"
37,RB387/wolt-ai-agents-talk,https://github.com/RB387/wolt-ai-agents-talk,"{'OpenAI': ['baseline/main.go', 'internal/utils.go']}"
38,jamesizhang/mi-LModel,https://github.com/jamesizhang/mi-LModel,"{'OpenAI': ['client/demo.go', 'net/net.go', 'client/client-model.go']}"
39,bsthun/pdftranslate,https://github.com/bsthun/pdftranslate,"{'OpenAI': ['backend/endpoint/extract/handle_retranslate.go', 'backend/endpoint/extract/handle_upload.go', 'backend/common/openai/openai.go', 'backend/endpoint/extract/handler.go']}"
40,juburr/openai-tool-adapter,https://github.com/juburr/openai-tool-adapter,"{'OpenAI': ['e2e/debug_multimodal_test.go', 'testutils_test.go', 'e2e/direct_multimodal_test.go', 'e2e/simple_test.go']}"
41,picatz/openai,https://github.com/picatz/openai,"{'OpenAI': ['internal/chat/storage/pebble/backend_test.go', 'cmd/openai/main.go', 'internal/chat/session_test.go', 'internal/chat/storage/tests/backend.go', 'cmd/openai/command_root.go', 'cmd/openai/command_image.go', 'internal/chat/storage/memory/backend_test.go']}"
42,madmaxieee/axon,https://github.com/madmaxieee/axon,"{'OpenAI': ['internal/client/client.go', 'internal/proto/proto.go', 'internal/client/stream.go']}"
43,whales-collective/3tools,https://github.com/whales-collective/3tools,"{'OpenAI': ['old_way_test.go', 'tools_test.go', 'client/openai.go', 'tools/tools.go']}"
44,FANSENG/LLMHelper,https://github.com/FANSENG/LLMHelper,"{'OpenAI': ['model/base_call.go', 'model/response.go', 'method/GetStoryByWords.go', 'model/request.go', 'bridge/client.go']}"
45,PeterJohnBishop/Go-API-Containerization,https://github.com/PeterJohnBishop/Go-API-Containerization,{'OpenAI': ['server/services/ai/openAI.go']}
46,whales-collective/tools-cart,https://github.com/whales-collective/tools-cart,"{'OpenAI': ['tools/catalog.go', 'main.go', 'client/client.go']}"
47,openai/openai-go,https://github.com/openai/openai-go,"{'OpenAI': ['image_test.go', 'examples/responses-streaming/main.go', 'finetuningcheckpoint.go', 'internal/encoding/json/sentinel/sentinel_test.go', 'examples/image-streaming/main.go', 'uploadpart_test.go', 'file_test.go', 'finetuningjobcheckpoint_test.go', 'chatcompletionmessage.go', 'betachatkitsession_test.go', 'packages/param/param.go', 'examples/image-generation/main.go', 'internal/encoding/json/sentinel/null.go', 'chatcompletionmessage_test.go', 'paginationmanual_test.go', 'chat.go', 'audiotranslation.go', 'examples/chat-completion-tool-calling/main.go', 'containerfile_test.go', 'model_test.go', 'responses/inputtoken_test.go', 'container_test.go', 'paginationauto_test.go', 'conversations/item_test.go', 'model.go', 'embedding_test.go', 'conversations/conversation_test.go', 'examples/chat-completion/main.go', 'examples/structured-outputs/main.go', 'internal/paramutil/field.go', 'internal/apijson/decoderesp_test.go', 'field.go', 'polling.go', 'packages/param/option.go', 'finetuningcheckpointpermission_test.go', 'examples/video-generation/main.go', 'uploadpart.go', 'betathreadmessage_test.go', 'containerfilecontent.go', 'betachatkit.go', 'internal/apijson/subfield.go', 'realtime/call.go', 'packages/param/encoder.go', 'vectorstorefilebatch_test.go', 'packages/param/null.go', 'finetuningalphagrader_test.go', 'betachatkitsession.go', 'beta.go', 'audiotranscription_test.go', 'azure/azure_test.go', 'audiospeech_test.go', 'packages/param/null_test.go', 'batch_test.go', 'internal/apiquery/richparam.go', 'internal/apierror/apierror.go', 'audiotranslation_test.go', 'azure/example_test.go', 'examples/audio-text-to-speech/main.go', 'examples/vectorstorefilebatch/main.go', 'finetuningalpha.go', 'upload_test.go', 'betachatkitthread_test.go', 'usage_test.go', 'examples/responses/main.go', 'internal/apiform/richparam.go', 'internal/encoding/json/time.go', 'grader.go', 'containerfilecontent_test.go', 'finetuning.go', 'audio.go', 'betathreadrunstep_test.go', 'responses/inputitem.go', 'video_test.go', 'completion_test.go', 'examples/audio-transcriptions/main.go', 'realtime/clientsecret_test.go', 'moderation_test.go', 'vectorstorefile_test.go', 'responses/inputitem_test.go', 'internal/paramutil/union.go', 'examples/fine-tuning/main.go', 'examples/chat-completion-accumulating/main.go', 'examples/chat-completion-streaming/main.go']}"
48,OpenAl-source/OpenAI-GPT-4.1,https://github.com/OpenAl-source/OpenAI-GPT-4.1,"{'OpenAI': ['model.go', 'finetuning.go', 'examples/responses-streaming/main.go', 'image_test.go', 'embedding_test.go', 'beta.go', 'audiotranscription_test.go', 'examples/chat-completion/main.go', 'audio.go', 'betathreadrunstep_test.go', 'internal/apijson/union.go', 'internal/encoding/json/sentinel/sentinel_test.go', 'examples/beta/assistants/main.go', 'examples/structured-outputs/main.go', 'azure/azure_test.go', 'audiospeech_test.go', 'completion_test.go', 'uploadpart_test.go', 'internal/apijson/field_test.go', 'batch_test.go', 'file_test.go', 'field.go', 'polling.go', 'examples/audio-transcriptions/main.go', 'finetuningjobcheckpoint_test.go', 'internal/apiquery/richparam.go', 'internal/apierror/apierror.go', 'chatcompletionmessage.go', 'uploadpart.go', 'audiotranslation_test.go', 'betathreadmessage_test.go', 'azure/example_test.go', 'examples/audio-text-to-speech/main.go', 'examples/vectorstorefilebatch/main.go', 'internal/apijson/subfield.go', 'internal/encoding/json/sentinel/null.go', 'chatcompletionmessage_test.go', 'paginationmanual_test.go', 'packages/param/sentinel.go', 'chat.go', 'moderation_test.go', 'responses/response_test.go', 'vectorstorefile_test.go', 'examples/beta/assistant-streaming/main.go', 'audiotranslation.go', 'examples/chat-completion-tool-calling/main.go', 'upload_test.go', 'usage_test.go', 'responses/inputitem_test.go', 'model_test.go', 'packages/param/encoder.go', 'vectorstorefilebatch_test.go', 'examples/responses/main.go', 'internal/apiform/richparam.go', 'internal/encoding/json/time.go', 'examples/fine-tuning/main.go', 'examples/chat-completion-accumulating/main.go', 'paginationauto_test.go', 'examples/chat-completion-streaming/main.go', 'examples/image-generation/starting-prompt.go']}"
49,fredliang44/openai-go,https://github.com/fredliang44/openai-go,"{'OpenAI': ['model.go', 'finetuning.go', 'examples/responses-streaming/main.go', 'image_test.go', 'finetuningcheckpoint.go', 'embedding_test.go', 'beta.go', 'audiotranscription_test.go', 'examples/chat-completion/main.go', 'audio.go', 'betathreadrunstep_test.go', 'internal/encoding/json/sentinel/sentinel_test.go', 'examples/structured-outputs/main.go', 'internal/paramutil/field.go', 'internal/apijson/decoderesp_test.go', 'examples/image-streaming/main.go', 'azure/azure_test.go', 'audiospeech_test.go', 'completion_test.go', 'uploadpart_test.go', 'packages/param/null_test.go', 'batch_test.go', 'file_test.go', 'field.go', 'polling.go', 'examples/audio-transcriptions/main.go', 'packages/param/option.go', 'finetuningjobcheckpoint_test.go', 'internal/apiquery/richparam.go', 'internal/apierror/apierror.go', 'chatcompletionmessage.go', 'finetuningcheckpointpermission_test.go', 'uploadpart.go', 'audiotranslation_test.go', 'betathreadmessage_test.go', 'containerfilecontent.go', 'azure/example_test.go', 'packages/param/param.go', 'examples/audio-text-to-speech/main.go', 'examples/vectorstorefilebatch/main.go', 'internal/apijson/subfield.go', 'examples/image-generation/main.go', 'internal/encoding/json/sentinel/null.go', 'chatcompletionmessage_test.go', 'paginationmanual_test.go', 'moderation_test.go', 'chat.go', 'finetuningalpha.go', 'vectorstorefile_test.go', 'audiotranslation.go', 'examples/chat-completion-tool-calling/main.go', 'upload_test.go', 'usage_test.go', 'containerfile_test.go', 'responses/inputitem_test.go', 'internal/paramutil/union.go', 'model_test.go', 'packages/param/encoder.go', 'vectorstorefilebatch_test.go', 'examples/responses/main.go', 'internal/apiform/richparam.go', 'packages/param/null.go', 'internal/encoding/json/time.go', 'grader.go', 'examples/fine-tuning/main.go', 'container_test.go', 'examples/chat-completion-accumulating/main.go', 'paginationauto_test.go', 'containerfilecontent_test.go', 'finetuningalphagrader_test.go', 'examples/chat-completion-streaming/main.go']}"
50,duaraghav8/dockershrink,https://github.com/duaraghav8/dockershrink,"{'OpenAI': ['internal/ai/ai.go', 'internal/ai/tools.go', 'cmd/utils.go']}"
51,a-novel/service-story-schematics,https://github.com/a-novel/service-story-schematics,"{'OpenAI': ['models/config/openai.config.default.go', 'internal/daoai/expand_logline.go', 'internal/daoai/generate_beats_sheet.go', 'internal/daoai/expand_beat.go', 'models/config/openai.config.go', 'internal/daoai/regenerate_beats.go', 'internal/daoai/utils_test.go', 'internal/daoai/generate_loglines.go']}"
52,grapery/grapery,https://github.com/grapery/grapery,{'OpenAI': ['pkg/cloud/openai/openai.go']}
53,gtoxlili/echoAlpha,https://github.com/gtoxlili/echoAlpha,"{'OpenAI': ['llm/agent.go', 'llm/factory.go', 'utils/utils.go']}"
54,kaiqiz8/goweathergo,https://github.com/kaiqiz8/goweathergo,"{'OpenAI': ['AI/clothes_recommendation.go', 'AI/openai_client.go']}"
55,donebyai-team/RedoraAI,https://github.com/donebyai-team/RedoraAI,{'OpenAI': ['backend/models/voice_provider.go']}
56,Kurdzik/aidevs,https://github.com/Kurdzik/aidevs,{'OpenAI': ['v3/s01e01/openai/llm.go']}
57,owulveryck/gptslideshow,https://github.com/owulveryck/gptslideshow,"{'OpenAI': ['internal/ai/openai/content.go', 'internal/ai/openai/audio.go', 'internal/ai/openai/image.go', 'internal/ai/openai/ai.go']}"
58,cloudnative-zoo/go-commons,https://github.com/cloudnative-zoo/go-commons,"{'OpenAI': ['genai/chat.go', 'genai/types.go', 'genai/new.go', '_examples/genai/main.go']}"
59,lyfoore/catering_order_microservice,https://github.com/lyfoore/catering_order_microservice,{'OpenAI': ['internal/service/openai_service.go']}
60,Spyder01/misc-projects-backup,https://github.com/Spyder01/misc-projects-backup,{'OpenAI': ['go/profiler-next/arch-diagram/pkg/services/ai/gpt.go']}
61,hellkirl/automatic_text_processing_lr_2,https://github.com/hellkirl/automatic_text_processing_lr_2,"{'OpenAI': ['internal/infrastructure/openai/client/chat.go', 'internal/infrastructure/openai/client/conn.go']}"
62,WinPooh32/reviewpls,https://github.com/WinPooh32/reviewpls,"{'OpenAI': ['cmd/reviewpls/main.go', 'cmd/reviewpls/functions/reviewer/reviewer_openai.go']}"
63,hirosassa/sgpt,https://github.com/hirosassa/sgpt,"{'OpenAI': ['handler/handler.go', 'handler/default_handler.go']}"
64,joergjo/go-samples,https://github.com/joergjo/go-samples,"{'OpenAI': ['codeagent/main.go', 'codeagent/agent.go', 'codeagent-cc/agent.go', 'codeagent-cc/main.go']}"
65,Bajahaw/ai-ui,https://github.com/Bajahaw/ai-ui,"{'OpenAI': ['backend/cmd/provider/router.go', 'backend/cmd/provider/client.go', 'backend/cmd/provider/utils.go']}"
66,remijnoel/hcl-resume,https://github.com/remijnoel/hcl-resume,"{'OpenAI': ['cmd/root.go', 'internal/openai.go']}"
67,mgomez-psyco/ai_chat_service,https://github.com/mgomez-psyco/ai_chat_service,"{'OpenAI': ['internal/service/handler.go', 'mocks/chat_manager.go', 'internal/manager/chat_manager.go', 'internal/service/chat_processing.go', 'internal/service/model.go', 'internal/bootstrap/bootstrap.go']}"
68,yourlogarithm/l337,https://github.com/yourlogarithm/l337,"{'OpenAI': ['providers/openai/openai.go', 'providers/openai/metrics.go', 'providers/openai/tool.go'], 'Anthropic': ['metrics/metrics.go']}"
69,jochy/magnifin,https://github.com/jochy/magnifin,"{'OpenAI': ['back/internal/adapters/enricher/guesscategory.go', 'back/internal/adapters/enricher/enricher.go', 'back/internal/adapters/enricher/cleancounterpartyname.go']}"
70,mkorobovv/aichat,https://github.com/mkorobovv/aichat,"{'OpenAI': ['internal/app/gateways/openai-gateway/init.go', 'internal/app/gateways/openai-gateway/methods.go'], 'Google': ['internal/app/gateways/genai-gateway/methods.go', 'internal/app/gateways/genai-gateway/init.go']}"
71,JasirZaeem/nise-chat,https://github.com/JasirZaeem/nise-chat,{'OpenAI': ['cmd/nise-srv/application.go']}
72,bparanj/crystal,https://github.com/bparanj/crystal,{'OpenAI': ['programming/go/hi.go']}
73,FantasyRL/HachimiONanbayLyudou,https://github.com/FantasyRL/HachimiONanbayLyudou,"{'OpenAI': ['homework2/go-mcp-demo/pkg/base/mcp_client/single.go', 'homework2/go-mcp-demo/pkg/base/mcp_client/client.go', 'homework2/go-mcp-demo/internal/mcp_local/internal/ai_se_solver/se_solver.go', 'homework2/go-mcp-demo/internal/host/host.go', 'homework2/go-mcp-demo/internal/host/chat_openai.go']}"
74,huyfififi/mastodon-ai,https://github.com/huyfififi/mastodon-ai,{'OpenAI': ['config/config.go']}
75,0xdeafcafe/bloefish,https://github.com/0xdeafcafe/bloefish,"{'OpenAI': ['services/airelay/internal/service.go', 'services/airelay/internal/libraries/relay/providers/openai/openai.go', 'services/airelay/internal/app/invoke_streaming_conversation_message.go', 'services/airelay/internal/libraries/relay/providers/openai/chatstream.go']}"
76,karsharma10/learn_go,https://github.com/karsharma10/learn_go,"{'OpenAI': ['models/openAI/inference.go', 'models/openAI/finetuning.go']}"
77,otisai/eva,https://github.com/otisai/eva,"{'OpenAI': ['cmd/discord/main.go', 'internal/core/openai_client.go']}"
78,vaastav/dmas_forge,https://github.com/vaastav/dmas_forge,"{'OpenAI': ['examples/weather/workflow/WeatherAgent.go', 'ai_runtime/plugins/openaiagent/agent.go', 'ai_runtime/core/agent.go']}"
79,musafirly/api.musafirly.com,https://github.com/musafirly/api.musafirly.com,"{'OpenAI': ['internal/clients/llm/openai/types.go', 'internal/clients/llm/openai/client.go'], 'Google': ['internal/clients/llm/gemini/client.go']}"
80,dbo-studio/dbo,https://github.com/dbo-studio/dbo,"{'OpenAI': ['backend/internal/service/ai/provider/openai.go', 'backend/internal/service/ai/provider/groq.go', 'backend/internal/service/ai/provider/ollama.go', 'backend/internal/service/ai/provider/anthropic.go', 'backend/internal/service/ai/provider/gemini.go']}"
81,FantasyRL/go-mcp-demo,https://github.com/FantasyRL/go-mcp-demo,"{'OpenAI': ['pkg/base/mcp_client/client.go', 'internal/host/host.go', 'internal/mcp_local/internal/ai_se_solver/se_solver.go', 'pkg/base/mcp_client/single.go', 'internal/host/chat_openai.go']}"
82,xtt28/galileo,https://github.com/xtt28/galileo,"{'OpenAI': ['agent/fn_read_file.go', 'agent/fn_web_search.go', 'agent/fn_open_file.go', 'agent/fn_web_get.go', 'agent/fn_create_file.go', 'agent/fn_get_programs.go', 'agent/agent.go', 'agent/fn_message_box.go', 'agent/fn_weather.go', 'ai/conversation.go', 'ui/sent_message.go', 'ui/main_window.go', 'agent/fn_show_files.go']}"
83,Web4application/Chatgpt-5,https://github.com/Web4application/Chatgpt-5,{'OpenAI': ['pkg.go']}
84,lybic/lybic-sdk-go,https://github.com/lybic/lybic-sdk-go,"{'OpenAI': ['pkg/covert/doc.go', 'pkg/covert/mcp_covert.go'], 'Anthropic': ['pkg/covert/doc.go', 'pkg/covert/mcp_covert.go']}"
85,Smart-Software-Testing-Solutions-Opkey/pcloudy-smart-healer,https://github.com/Smart-Software-Testing-Solutions-Opkey/pcloudy-smart-healer,"{'OpenAI': ['smarthealer/llm/openai.go', 'smarthealer/llm/llm.go']}"
86,engineergomes/alexa-llm,https://github.com/engineergomes/alexa-llm,{'OpenAI': ['clients/openai.go']}
87,lian-rr/clio,https://github.com/lian-rr/clio,"{'OpenAI': ['command/professor/openai/defaults.go', 'command/professor/openai/openapi.go']}"
88,vsriharsha814/CryptoPulse,https://github.com/vsriharsha814/CryptoPulse,"{'OpenAI': ['go-service/pkg/openai/client.go', 'go-service/pkg/handler/explain.go']}"
89,AdrianWangs/ai-nexus,https://github.com/AdrianWangs/ai-nexus,"{'OpenAI': ['go-service/nexus/biz/handler/nexus/models/qwen.go', 'go-service/nexus/biz/handler/nexus/parser/parser_thrift.go', 'go-service/nexus/biz/handler/nexus/printer/message_printer.go', 'go-service/nexus/biz/handler/nexus/nexus.go', 'go-service/nexus/biz/handler/nexus/service_nexus.go', 'go-service/nexus/biz/handler/nexus/parser/parse_service.go', 'go-service/nexus/biz/handler/nexus/models/interface.go']}"
90,lucas11222/helpers-go,https://github.com/lucas11222/helpers-go,{'OpenAI': ['utills/ai/ai.go']}
91,QBasy/Diploma-Text-to-SQL,https://github.com/QBasy/Diploma-Text-to-SQL,"{'OpenAI': ['text-to-sql-service-go/internal/service/openai.go', 'text-to-sql-service-go/internal/handler/openai.go']}"
92,futugyou/goproject,https://github.com/futugyou/goproject,"{'OpenAI': ['openai-web/services/model.go', 'yomawari/extensions_ai/openai/responsechatclient.go', 'yomawari/extensions_ai/openai/chatclient.go', 'openai-web/services/edits.go', 'openai-web/services/fine-tunes.go', 'openai-web/controllers/audio.go', 'openai-web/api/chat_sse.go', 'openai-web/services/audio.go', 'yomawari/extensions_ai/openai/embeddinggenerator.go', 'openai-web/controllers/fine-tunes.go']}"
93,raja-aiml/llm-fast-wrapper,https://github.com/raja-aiml/llm-fast-wrapper,"{'OpenAI': ['internal/embeddings/api/openai.go', 'client/internal/chat/chat_test.go', 'client/internal/chat/chat.go', 'client/main.go', 'internal/config/config.go']}"
94,chaaaaun/aiproxy,https://github.com/chaaaaun/aiproxy,"{'OpenAI': ['handlers/openai.go', 'handlers/openrouter.go']}"
95,jlrosende/go-agents,https://github.com/jlrosende/go-agents,"{'OpenAI': ['llm/providers/bedrock/bedrock.go', 'llm/providers/tensrozero/tensorzer.go', 'llm/providers/google/google.go', 'llm/providers/anthropic/anthropic.go', 'llm/providers/openrouter/openrouter.go', 'llm/providers/deepseek/deepseek.go', 'llm/providers/generic/generic.go', 'llm/providers/azure/azure.go']}"
96,rchouinard/commit-assistant,https://github.com/rchouinard/commit-assistant,{'OpenAI': ['assistant/openai_assistant.go']}
97,bastilavarias/kislap,https://github.com/bastilavarias/kislap,"{'OpenAI': ['flash/sdk/llm/openai.go'], 'Google': ['flash/sdk/llm/gemini.go']}"
